测试公告,#genre#
天网,http://zby.xjqxz.top/tw/live.m3u8
探索发现,http://zby.xjqxz.top/tsfx/live.m3u8
纪录片1,http://zby.xjqxz.top/jlp1/live.m3u8
更新2024-12-14,https://api.lq.mba/api/dm-xjj
更新2024-12-14,https://api.yujn.cn/api/duilian.php?type=video
更新2024-12-14,https://api.kuleu.com/api/xjj?type=string
更新2024-12-14,http://api.yujn.cn/api/juhexjj.php?type=video
更新2024-12-14,http://api.yujn.cn/api/jiepai.php?type=video

戏曲频道,#genre#
梨园频道,http://115.48.61.28:9901/tsfile/live/1015_1.m3u8$『线路1』
梨园频道,http://222.142.65.165:9901/tsfile/live/1014_1.m3u8$『线路2』
梨园频道,http://114.105.185.143:9901/tsfile/live/1052_1.m3u8$『线路3』
梨园频道,http://222.142.70.7:9901/tsfile/live/1014_1.m3u8$『线路5』
梨园频道,http://222.142.75.203:9901/tsfile/live/1014_1.m3u8$『线路6』
戏曲精选,http://wouu.net:9977/udp/239.93.0.144:5140$『线路1』
东森戏剧,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ettvdrama$
龙华戏剧,http://litv.zapi.us.kg/?id=litv-longturn18$『线路1』
龙华戏剧,https://litv.zapi.us.kg/?id=litv-longturn18$『线路2』
龙华戏剧,http://ku9.fr.to/smt.php?id=lunghuaxiju_twn$『线路8』
龙华戏剧,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=lunghuaxiju_twn$『线路9』
龙华戏剧,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-longturn18$『线路10』
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8$『线路1』
三立戏剧,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=sanlixiju_twn$『线路6』
三立戏剧,http://ku9.fr.to/smt.php?id=sanlixiju_twn$『线路7』
三立戏剧,https://stream1.freetv.fun/san-li-xi-ju-1.m3u8$『线路8』
七彩戏剧,http://223.166.234.114:7777/tsfile/live/1034_1.m3u8$『线路1』
七彩戏剧,http://223.166.234.149:7777/tsfile/live/1034_1.m3u8$『线路2』
七彩戏剧,http://223.166.234.19:7777/tsfile/live/1034_1.m3u8$『线路4』
七彩戏剧,http://223.166.234.215:7777/tsfile/live/1034_1.m3u8$『线路7』
公视戏剧,http://litv.zapi.us.kg/?id=4gtv-4gtv042$『线路1』
公视戏剧,https://litv.zapi.us.kg/?id=4gtv-4gtv042$『线路2』
岭南戏剧,http://222.218.159.110:8181/tsfile/live/1006_1.m3u8$『线路1』
岭南戏剧,http://219.159.194.4:8181/tsfile/live/1006_1.m3u8$『线路2』
岭南戏剧,http://113.15.185.171:8181/tsfile/live/1006_1.m3u8$『线路3』
岭南戏剧,http://113.15.185.67:8181/tsfile/live/1006_1.m3u8$『线路4』
岭南戏剧,http://222.218.158.217:8181/tsfile/live/1006_1.m3u8$『线路6』
